소득 분위,가구주 연령대,가구주 학력 수준,가구주 종사상 지위,가구원 수,취업자 수,가구 유형,가구소득(만원)
3분위,65세 이상,대졸 이상,기타(무직 등),2인,1인,다문화가구,5683.0
5분위,39세 이하,고졸,자영업자,3인,3인 이상,노인가구,38879.0
1분위,50~59세,중졸,자영업자,2인,1인,노인가구,2014.0
1분위,30~39세,대졸 이상,임시·일용근로자,3인,0인,다문화가구,1072.0
1분위,60세 이상,대졸 이상,임시·일용근로자,2인,1인,한부모가구,1388.0
2분위,40~49세,고졸,임시·일용근로자,5인 이상,1인,노인가구,6240.0
2분위,30~39세,중졸,자영업자,5인 이상,2인,노인가구,6851.0
2분위,50~59세,대졸 이상,임시·일용근로자,4인,0인,다문화가구,3846.0
5분위,39세 이하,초졸 이하,자영업자,2인,0인,다문화가구,12520.0
2분위,30~39세,중졸,임시·일용근로자,2인,2인,노인가구,2846.0
2분위,30~39세,대졸 이상,상용근로자,4인,3인 이상,한부모가구,8355.0
3분위,65세 이상,고졸,상용근로자,4인,3인 이상,노인가구,7423.0
1분위,60세 이상,대졸 이상,임시·일용근로자,5인 이상,1인,다문화가구,1814.0
5분위,40~49세,초졸 이하,상용근로자,5인 이상,2인,노인가구,28272.0
1분위,40~49세,중졸,자영업자,2인,3인 이상,다문화가구,1643.0
5분위,39세 이하,대졸 이상,기타(무직 등),5인 이상,0인,노인가구,15299.0
4분위,50~59세,초졸 이하,상용근로자,5인 이상,2인,다문화가구,9299.0
1분위,39세 이하,대졸 이상,기타(무직 등),2인,3인 이상,다문화가구,1544.0
1분위,30~39세,대졸 이상,상용근로자,4인,0인,한부모가구,2478.0
5분위,30~39세,중졸,자영업자,2인,2인,다문화가구,18125.0
4분위,40~49세,고졸,상용근로자,1인,1인,노인가구,6921.0
4분위,50~59세,고졸,상용근로자,2인,1인,다문화가구,13085.0
4분위,60세 이상,초졸 이하,임시·일용근로자,1인,0인,장애인가구,14077.0
1분위,50~59세,초졸 이하,기타(무직 등),2인,3인 이상,노인가구,881.0
2분위,30~39세,초졸 이하,기타(무직 등),1인,3인 이상,한부모가구,10176.0
1분위,60세 이상,중졸,자영업자,1인,2인,노인가구,1741.0
5분위,50~59세,고졸,자영업자,2인,0인,한부모가구,17926.0
4분위,50~59세,초졸 이하,기타(무직 등),5인 이상,3인 이상,장애인가구,12871.0
2분위,60세 이상,초졸 이하,임시·일용근로자,3인,1인,한부모가구,4394.0
1분위,30~39세,대졸 이상,임시·일용근로자,5인 이상,0인,다문화가구,2204.0
2분위,50~59세,대졸 이상,기타(무직 등),1인,1인,장애인가구,4741.0
2분위,60세 이상,초졸 이하,상용근로자,2인,0인,장애인가구,3056.0
4분위,65세 이상,대졸 이상,기타(무직 등),2인,2인,한부모가구,5773.0
4분위,65세 이상,대졸 이상,상용근로자,2인,3인 이상,노인가구,10796.0
5분위,30~39세,대졸 이상,기타(무직 등),2인,3인 이상,한부모가구,10966.0
3분위,60세 이상,중졸,상용근로자,3인,3인 이상,한부모가구,16204.0
1분위,65세 이상,초졸 이하,임시·일용근로자,4인,1인,장애인가구,2422.0
4분위,60세 이상,초졸 이하,기타(무직 등),1인,3인 이상,다문화가구,14669.0
4분위,50~59세,대졸 이상,자영업자,3인,0인,노인가구,9045.0
3분위,30~39세,중졸,상용근로자,5인 이상,1인,한부모가구,9435.0
4분위,65세 이상,대졸 이상,임시·일용근로자,4인,2인,다문화가구,5338.0
3분위,50~59세,중졸,자영업자,4인,1인,다문화가구,12674.0
3분위,39세 이하,초졸 이하,임시·일용근로자,2인,2인,노인가구,9906.0
3분위,39세 이하,대졸 이상,상용근로자,3인,1인,다문화가구,10678.0
1분위,30~39세,초졸 이하,기타(무직 등),5인 이상,3인 이상,한부모가구,2957.0
1분위,65세 이상,중졸,임시·일용근로자,2인,2인,장애인가구,1181.0
1분위,65세 이상,고졸,기타(무직 등),2인,3인 이상,다문화가구,1431.0
4분위,65세 이상,중졸,기타(무직 등),1인,1인,장애인가구,9806.0
2분위,60세 이상,고졸,임시·일용근로자,4인,2인,노인가구,3791.0
3분위,50~59세,초졸 이하,임시·일용근로자,5인 이상,0인,노인가구,7895.0
5분위,65세 이상,초졸 이하,임시·일용근로자,4인,0인,다문화가구,19495.0
2분위,50~59세,대졸 이상,기타(무직 등),3인,1인,장애인가구,4839.0
3분위,30~39세,고졸,자영업자,1인,2인,한부모가구,14366.0
4분위,65세 이상,중졸,상용근로자,2인,0인,장애인가구,4702.0
2분위,30~39세,초졸 이하,자영업자,1인,3인 이상,다문화가구,8637.0
1분위,65세 이상,고졸,기타(무직 등),2인,3인 이상,장애인가구,1961.0
2분위,39세 이하,중졸,임시·일용근로자,1인,1인,장애인가구,4390.0
1분위,40~49세,고졸,임시·일용근로자,2인,3인 이상,노인가구,1040.0
5분위,30~39세,중졸,상용근로자,4인,3인 이상,다문화가구,6965.0
5분위,65세 이상,중졸,상용근로자,4인,3인 이상,장애인가구,11645.0
4분위,40~49세,중졸,자영업자,4인,0인,다문화가구,13082.0
5분위,30~39세,중졸,자영업자,4인,2인,한부모가구,15651.0
5분위,60세 이상,고졸,상용근로자,1인,1인,다문화가구,25487.0
1분위,65세 이상,고졸,기타(무직 등),2인,2인,한부모가구,1175.0
5분위,60세 이상,대졸 이상,자영업자,4인,2인,다문화가구,21238.0
3분위,39세 이하,고졸,임시·일용근로자,1인,2인,다문화가구,6387.0
5분위,65세 이상,고졸,임시·일용근로자,2인,0인,장애인가구,10878.0
5분위,39세 이하,대졸 이상,기타(무직 등),1인,3인 이상,장애인가구,15335.0
2분위,40~49세,고졸,상용근로자,4인,1인,한부모가구,4225.0
1분위,30~39세,중졸,자영업자,3인,2인,한부모가구,812.0
2분위,50~59세,초졸 이하,임시·일용근로자,1인,3인 이상,노인가구,5124.0
3분위,39세 이하,초졸 이하,상용근로자,4인,0인,장애인가구,8880.0
5분위,50~59세,대졸 이상,자영업자,5인 이상,2인,한부모가구,26584.0
5분위,50~59세,고졸,기타(무직 등),2인,3인 이상,장애인가구,23282.0
1분위,30~39세,고졸,임시·일용근로자,4인,0인,다문화가구,2452.0
3분위,40~49세,대졸 이상,기타(무직 등),5인 이상,3인 이상,노인가구,11352.0
3분위,30~39세,초졸 이하,기타(무직 등),1인,1인,장애인가구,9721.0
2분위,65세 이상,중졸,기타(무직 등),1인,3인 이상,장애인가구,3371.0
1분위,39세 이하,고졸,자영업자,5인 이상,3인 이상,장애인가구,1598.0
2분위,50~59세,대졸 이상,기타(무직 등),5인 이상,1인,장애인가구,6998.0
5분위,30~39세,중졸,자영업자,2인,1인,한부모가구,28673.0
2분위,30~39세,대졸 이상,자영업자,1인,3인 이상,한부모가구,7253.0
3분위,30~39세,대졸 이상,기타(무직 등),5인 이상,1인,노인가구,13977.0
4분위,39세 이하,대졸 이상,기타(무직 등),3인,3인 이상,다문화가구,5695.0
2분위,40~49세,초졸 이하,상용근로자,3인,2인,다문화가구,4837.0
5분위,30~39세,초졸 이하,임시·일용근로자,5인 이상,3인 이상,노인가구,19005.0
5분위,39세 이하,대졸 이상,상용근로자,2인,0인,다문화가구,25466.0
2분위,50~59세,고졸,임시·일용근로자,1인,1인,한부모가구,5201.0
3분위,65세 이상,중졸,임시·일용근로자,3인,2인,장애인가구,8234.0
2분위,60세 이상,고졸,상용근로자,5인 이상,1인,다문화가구,7256.0
2분위,39세 이하,초졸 이하,상용근로자,5인 이상,1인,장애인가구,3513.0
1분위,60세 이상,중졸,임시·일용근로자,4인,1인,장애인가구,2863.0
4분위,30~39세,대졸 이상,임시·일용근로자,5인 이상,0인,한부모가구,6054.0
3분위,30~39세,고졸,임시·일용근로자,2인,0인,장애인가구,3950.0
1분위,39세 이하,고졸,자영업자,3인,3인 이상,다문화가구,1511.0
2분위,60세 이상,대졸 이상,임시·일용근로자,4인,0인,한부모가구,10873.0
5분위,30~39세,고졸,기타(무직 등),3인,1인,노인가구,20238.0
2분위,50~59세,초졸 이하,기타(무직 등),3인,2인,한부모가구,7444.0
1분위,40~49세,대졸 이상,기타(무직 등),2인,2인,다문화가구,1530.0
3분위,40~49세,고졸,상용근로자,5인 이상,2인,한부모가구,8007.0
5분위,30~39세,대졸 이상,상용근로자,2인,1인,다문화가구,8628.0
2분위,60세 이상,중졸,상용근로자,5인 이상,0인,다문화가구,2233.0
4분위,65세 이상,대졸 이상,임시·일용근로자,4인,2인,한부모가구,9308.0
4분위,30~39세,고졸,기타(무직 등),2인,1인,다문화가구,14547.0
2분위,65세 이상,초졸 이하,임시·일용근로자,2인,1인,노인가구,6325.0
4분위,65세 이상,대졸 이상,자영업자,1인,2인,다문화가구,11043.0
2분위,60세 이상,대졸 이상,자영업자,2인,2인,노인가구,10386.0
4분위,65세 이상,고졸,상용근로자,1인,3인 이상,노인가구,9814.0
4분위,50~59세,초졸 이하,자영업자,5인 이상,3인 이상,다문화가구,8193.0
3분위,60세 이상,초졸 이하,기타(무직 등),5인 이상,1인,장애인가구,6134.0
1분위,30~39세,중졸,자영업자,5인 이상,3인 이상,노인가구,3379.0
5분위,50~59세,중졸,상용근로자,1인,3인 이상,노인가구,19758.0
2분위,39세 이하,고졸,임시·일용근로자,5인 이상,2인,한부모가구,3779.0
1분위,40~49세,초졸 이하,자영업자,3인,3인 이상,노인가구,942.0
1분위,30~39세,초졸 이하,기타(무직 등),2인,1인,노인가구,2484.0
3분위,30~39세,중졸,기타(무직 등),1인,2인,노인가구,5620.0
4분위,30~39세,중졸,기타(무직 등),5인 이상,3인 이상,노인가구,18063.0
1분위,50~59세,고졸,임시·일용근로자,3인,3인 이상,장애인가구,500.0
3분위,39세 이하,초졸 이하,기타(무직 등),2인,3인 이상,노인가구,15033.0
2분위,60세 이상,대졸 이상,상용근로자,2인,0인,다문화가구,6697.0
4분위,39세 이하,중졸,상용근로자,5인 이상,3인 이상,장애인가구,9023.0
1분위,50~59세,고졸,기타(무직 등),3인,3인 이상,노인가구,1403.0
4분위,30~39세,초졸 이하,자영업자,1인,1인,다문화가구,18332.0
2분위,40~49세,초졸 이하,기타(무직 등),5인 이상,3인 이상,다문화가구,7314.0
5분위,30~39세,중졸,상용근로자,2인,0인,장애인가구,11153.0
1분위,60세 이상,고졸,상용근로자,2인,2인,장애인가구,757.0
2분위,65세 이상,대졸 이상,상용근로자,2인,3인 이상,다문화가구,5917.0
1분위,40~49세,중졸,자영업자,5인 이상,3인 이상,장애인가구,1504.0
5분위,30~39세,고졸,자영업자,4인,1인,장애인가구,8715.0
5분위,40~49세,초졸 이하,자영업자,4인,3인 이상,한부모가구,15655.0
2분위,65세 이상,대졸 이상,상용근로자,4인,3인 이상,장애인가구,4381.0
4분위,39세 이하,고졸,임시·일용근로자,3인,3인 이상,한부모가구,8637.0
5분위,50~59세,대졸 이상,기타(무직 등),5인 이상,3인 이상,장애인가구,21399.0
3분위,30~39세,고졸,기타(무직 등),2인,2인,장애인가구,15460.0
3분위,60세 이상,고졸,상용근로자,3인,1인,다문화가구,12241.0
2분위,39세 이하,고졸,자영업자,4인,2인,한부모가구,4130.0
1분위,30~39세,고졸,임시·일용근로자,1인,0인,장애인가구,1744.0
5분위,39세 이하,대졸 이상,임시·일용근로자,3인,3인 이상,노인가구,16415.0
5분위,60세 이상,중졸,자영업자,3인,0인,장애인가구,9394.0
4분위,30~39세,대졸 이상,기타(무직 등),5인 이상,2인,다문화가구,10091.0
2분위,65세 이상,고졸,기타(무직 등),3인,0인,다문화가구,11584.0
2분위,65세 이상,대졸 이상,임시·일용근로자,5인 이상,3인 이상,다문화가구,5584.0
4분위,60세 이상,대졸 이상,임시·일용근로자,1인,0인,한부모가구,4548.0
5분위,40~49세,대졸 이상,자영업자,2인,2인,한부모가구,16201.0
5분위,60세 이상,고졸,기타(무직 등),2인,3인 이상,한부모가구,9850.0
4분위,40~49세,대졸 이상,임시·일용근로자,4인,1인,노인가구,12156.0
4분위,30~39세,초졸 이하,기타(무직 등),4인,2인,한부모가구,10615.0
1분위,40~49세,고졸,임시·일용근로자,1인,3인 이상,다문화가구,1406.0
1분위,30~39세,대졸 이상,자영업자,2인,1인,한부모가구,1318.0
5분위,30~39세,초졸 이하,기타(무직 등),4인,0인,한부모가구,14703.0
4분위,50~59세,대졸 이상,임시·일용근로자,3인,0인,장애인가구,8634.0
1분위,30~39세,중졸,임시·일용근로자,5인 이상,0인,한부모가구,1105.0
1분위,40~49세,대졸 이상,임시·일용근로자,4인,3인 이상,장애인가구,864.0
4분위,50~59세,대졸 이상,임시·일용근로자,1인,0인,한부모가구,13569.0
1분위,50~59세,중졸,자영업자,2인,0인,장애인가구,1290.0
1분위,30~39세,고졸,기타(무직 등),1인,1인,다문화가구,1609.0
3분위,60세 이상,중졸,기타(무직 등),5인 이상,1인,한부모가구,9539.0
4분위,60세 이상,고졸,상용근로자,5인 이상,1인,다문화가구,9788.0
4분위,65세 이상,중졸,기타(무직 등),1인,3인 이상,한부모가구,5381.0
2분위,50~59세,대졸 이상,상용근로자,4인,2인,노인가구,2820.0
4분위,30~39세,대졸 이상,임시·일용근로자,4인,0인,노인가구,6800.0
2분위,60세 이상,고졸,자영업자,2인,0인,다문화가구,6457.0
2분위,30~39세,고졸,자영업자,2인,3인 이상,다문화가구,4120.0
4분위,30~39세,초졸 이하,임시·일용근로자,3인,0인,노인가구,7466.0
4분위,50~59세,초졸 이하,상용근로자,3인,3인 이상,노인가구,20151.0
5분위,65세 이상,대졸 이상,임시·일용근로자,2인,3인 이상,장애인가구,7651.0
4분위,50~59세,대졸 이상,자영업자,3인,3인 이상,한부모가구,6362.0
3분위,39세 이하,초졸 이하,자영업자,1인,2인,노인가구,18172.0
1분위,60세 이상,초졸 이하,기타(무직 등),4인,3인 이상,다문화가구,1478.0
2분위,60세 이상,고졸,상용근로자,3인,2인,다문화가구,4156.0
2분위,60세 이상,중졸,기타(무직 등),3인,2인,노인가구,8797.0
2분위,40~49세,고졸,자영업자,1인,0인,다문화가구,5635.0
5분위,30~39세,초졸 이하,자영업자,5인 이상,1인,한부모가구,13924.0
2분위,50~59세,대졸 이상,기타(무직 등),2인,2인,장애인가구,5953.0
5분위,60세 이상,초졸 이하,기타(무직 등),1인,2인,한부모가구,12301.0
4분위,39세 이하,대졸 이상,자영업자,5인 이상,1인,장애인가구,5728.0
4분위,60세 이상,대졸 이상,기타(무직 등),1인,2인,장애인가구,8223.0
3분위,65세 이상,대졸 이상,기타(무직 등),4인,1인,노인가구,5679.0
3분위,30~39세,대졸 이상,상용근로자,1인,0인,다문화가구,8546.0
3분위,30~39세,중졸,자영업자,1인,3인 이상,장애인가구,9806.0
1분위,50~59세,초졸 이하,임시·일용근로자,4인,1인,노인가구,2117.0
4분위,40~49세,고졸,상용근로자,2인,3인 이상,다문화가구,13511.0
2분위,50~59세,대졸 이상,임시·일용근로자,5인 이상,1인,다문화가구,4686.0
1분위,60세 이상,대졸 이상,기타(무직 등),3인,3인 이상,장애인가구,1838.0
4분위,65세 이상,고졸,기타(무직 등),2인,0인,다문화가구,10479.0
1분위,39세 이하,고졸,임시·일용근로자,1인,2인,한부모가구,1716.0
5분위,50~59세,대졸 이상,기타(무직 등),3인,0인,다문화가구,13213.0
5분위,40~49세,고졸,기타(무직 등),4인,2인,한부모가구,10609.0
5분위,50~59세,고졸,상용근로자,2인,3인 이상,다문화가구,19565.0
2분위,30~39세,중졸,임시·일용근로자,5인 이상,3인 이상,장애인가구,2785.0
1분위,60세 이상,고졸,상용근로자,2인,2인,장애인가구,1352.0
5분위,60세 이상,초졸 이하,임시·일용근로자,2인,1인,노인가구,5763.0
3분위,60세 이상,초졸 이하,상용근로자,3인,0인,한부모가구,4986.0
5분위,60세 이상,초졸 이하,자영업자,4인,1인,한부모가구,11270.0
5분위,60세 이상,대졸 이상,자영업자,4인,3인 이상,장애인가구,24820.0
5분위,60세 이상,초졸 이하,임시·일용근로자,2인,0인,장애인가구,21078.0
2분위,39세 이하,중졸,자영업자,4인,0인,장애인가구,4417.0
2분위,40~49세,초졸 이하,상용근로자,3인,1인,한부모가구,7379.0
5분위,60세 이상,대졸 이상,임시·일용근로자,3인,2인,노인가구,22829.0
2분위,40~49세,중졸,자영업자,5인 이상,2인,한부모가구,5169.0
1분위,65세 이상,초졸 이하,자영업자,4인,0인,장애인가구,865.0
3분위,60세 이상,중졸,임시·일용근로자,5인 이상,2인,노인가구,7831.0
5분위,50~59세,중졸,자영업자,1인,3인 이상,다문화가구,15391.0
4분위,60세 이상,대졸 이상,자영업자,3인,1인,다문화가구,5256.0
3분위,30~39세,대졸 이상,임시·일용근로자,2인,1인,장애인가구,9856.0
1분위,39세 이하,중졸,자영업자,3인,1인,노인가구,1683.0
4분위,50~59세,초졸 이하,자영업자,1인,0인,장애인가구,10282.0
5분위,50~59세,대졸 이상,자영업자,2인,0인,한부모가구,17895.0
1분위,30~39세,중졸,자영업자,4인,2인,한부모가구,2015.0
3분위,60세 이상,고졸,기타(무직 등),4인,1인,노인가구,7921.0
5분위,39세 이하,고졸,임시·일용근로자,3인,3인 이상,장애인가구,17351.0
4분위,50~59세,대졸 이상,기타(무직 등),2인,3인 이상,장애인가구,7339.0
4분위,39세 이하,초졸 이하,기타(무직 등),2인,1인,다문화가구,6811.0
4분위,50~59세,고졸,상용근로자,5인 이상,0인,노인가구,14697.0
2분위,60세 이상,고졸,기타(무직 등),1인,0인,장애인가구,2434.0
2분위,65세 이상,고졸,기타(무직 등),4인,0인,한부모가구,7827.0
5분위,50~59세,초졸 이하,상용근로자,3인,3인 이상,장애인가구,12488.0
5분위,65세 이상,초졸 이하,자영업자,2인,1인,장애인가구,11857.0
5분위,50~59세,대졸 이상,자영업자,4인,3인 이상,한부모가구,17771.0
5분위,40~49세,대졸 이상,기타(무직 등),3인,1인,한부모가구,8821.0
3분위,60세 이상,고졸,상용근로자,4인,3인 이상,장애인가구,6140.0
3분위,30~39세,초졸 이하,자영업자,3인,3인 이상,한부모가구,6059.0
4분위,65세 이상,중졸,상용근로자,4인,2인,다문화가구,7876.0
4분위,30~39세,고졸,임시·일용근로자,5인 이상,3인 이상,다문화가구,6238.0
4분위,60세 이상,대졸 이상,임시·일용근로자,1인,1인,다문화가구,16327.0
4분위,30~39세,초졸 이하,임시·일용근로자,4인,3인 이상,한부모가구,17657.0
5분위,60세 이상,대졸 이상,임시·일용근로자,1인,2인,한부모가구,7129.0
2분위,30~39세,대졸 이상,기타(무직 등),4인,2인,한부모가구,6853.0
2분위,65세 이상,초졸 이하,임시·일용근로자,2인,1인,노인가구,7771.0
1분위,40~49세,고졸,임시·일용근로자,5인 이상,2인,한부모가구,1870.0
3분위,30~39세,초졸 이하,상용근로자,5인 이상,2인,다문화가구,6540.0
1분위,65세 이상,고졸,자영업자,1인,0인,다문화가구,1365.0
3분위,50~59세,대졸 이상,상용근로자,2인,1인,다문화가구,6309.0
3분위,60세 이상,초졸 이하,기타(무직 등),3인,2인,노인가구,7193.0
2분위,39세 이하,중졸,임시·일용근로자,5인 이상,2인,장애인가구,3397.0
3분위,39세 이하,고졸,자영업자,2인,2인,다문화가구,8128.0
1분위,60세 이상,중졸,자영업자,2인,1인,노인가구,825.0
1분위,40~49세,고졸,임시·일용근로자,1인,0인,장애인가구,1389.0
5분위,30~39세,초졸 이하,임시·일용근로자,2인,3인 이상,노인가구,9714.0
2분위,40~49세,중졸,기타(무직 등),2인,0인,노인가구,5987.0
1분위,39세 이하,초졸 이하,기타(무직 등),3인,1인,장애인가구,1147.0
3분위,65세 이상,고졸,임시·일용근로자,1인,1인,한부모가구,9559.0
4분위,60세 이상,고졸,임시·일용근로자,1인,1인,한부모가구,13263.0
2분위,60세 이상,고졸,임시·일용근로자,2인,3인 이상,다문화가구,10409.0
4분위,40~49세,고졸,임시·일용근로자,3인,1인,장애인가구,3130.0
1분위,65세 이상,대졸 이상,자영업자,4인,0인,다문화가구,1078.0
1분위,40~49세,고졸,기타(무직 등),5인 이상,2인,노인가구,1333.0
3분위,30~39세,중졸,임시·일용근로자,1인,2인,한부모가구,10230.0
3분위,50~59세,고졸,임시·일용근로자,3인,1인,다문화가구,4398.0
4분위,65세 이상,초졸 이하,자영업자,3인,1인,다문화가구,5810.0
4분위,50~59세,대졸 이상,상용근로자,2인,3인 이상,한부모가구,9066.0
5분위,30~39세,중졸,임시·일용근로자,5인 이상,2인,노인가구,16559.0
3분위,50~59세,대졸 이상,자영업자,1인,3인 이상,다문화가구,9898.0
2분위,39세 이하,대졸 이상,자영업자,4인,3인 이상,다문화가구,6582.0
4분위,50~59세,대졸 이상,상용근로자,2인,3인 이상,장애인가구,9853.0
2분위,30~39세,초졸 이하,기타(무직 등),1인,3인 이상,장애인가구,5956.0
3분위,50~59세,대졸 이상,기타(무직 등),1인,0인,한부모가구,8702.0
1분위,60세 이상,대졸 이상,기타(무직 등),3인,1인,한부모가구,1963.0
1분위,40~49세,고졸,임시·일용근로자,5인 이상,1인,노인가구,615.0
5분위,39세 이하,초졸 이하,기타(무직 등),4인,3인 이상,노인가구,29687.0
5분위,60세 이상,중졸,임시·일용근로자,5인 이상,3인 이상,다문화가구,6627.0
4분위,60세 이상,중졸,임시·일용근로자,3인,0인,장애인가구,5588.0
3분위,30~39세,중졸,자영업자,4인,3인 이상,노인가구,7772.0
1분위,40~49세,초졸 이하,기타(무직 등),4인,0인,다문화가구,1970.0
1분위,40~49세,중졸,기타(무직 등),2인,0인,다문화가구,454.0
2분위,65세 이상,초졸 이하,기타(무직 등),4인,3인 이상,한부모가구,5450.0
3분위,39세 이하,고졸,임시·일용근로자,1인,1인,장애인가구,11684.0
4분위,30~39세,고졸,임시·일용근로자,5인 이상,0인,다문화가구,12809.0
4분위,39세 이하,초졸 이하,기타(무직 등),5인 이상,1인,한부모가구,6510.0
2분위,65세 이상,중졸,임시·일용근로자,2인,1인,다문화가구,4887.0
5분위,50~59세,초졸 이하,임시·일용근로자,4인,0인,장애인가구,12510.0
4분위,60세 이상,초졸 이하,상용근로자,3인,2인,다문화가구,7354.0
3분위,39세 이하,대졸 이상,상용근로자,1인,0인,다문화가구,5632.0
4분위,60세 이상,초졸 이하,기타(무직 등),2인,2인,노인가구,6029.0
3분위,30~39세,대졸 이상,기타(무직 등),4인,0인,노인가구,10125.0
2분위,50~59세,고졸,상용근로자,3인,0인,한부모가구,5810.0
2분위,30~39세,대졸 이상,임시·일용근로자,4인,1인,다문화가구,6710.0
4분위,50~59세,초졸 이하,임시·일용근로자,2인,1인,한부모가구,9374.0
1분위,50~59세,고졸,자영업자,3인,3인 이상,장애인가구,1995.0
1분위,60세 이상,대졸 이상,기타(무직 등),3인,1인,한부모가구,2138.0
1분위,30~39세,초졸 이하,기타(무직 등),3인,1인,다문화가구,750.0
1분위,30~39세,고졸,기타(무직 등),3인,1인,노인가구,1069.0
5분위,39세 이하,대졸 이상,자영업자,4인,1인,노인가구,14591.0
4분위,30~39세,초졸 이하,자영업자,3인,3인 이상,한부모가구,8527.0
3분위,39세 이하,초졸 이하,임시·일용근로자,4인,1인,노인가구,6509.0
1분위,40~49세,중졸,상용근로자,3인,2인,다문화가구,2168.0
3분위,40~49세,중졸,상용근로자,3인,2인,다문화가구,18788.0
3분위,40~49세,대졸 이상,상용근로자,2인,3인 이상,장애인가구,9168.0
1분위,65세 이상,대졸 이상,임시·일용근로자,4인,1인,노인가구,1557.0
